Echinodermata	Crinoidea	Comatulida	Comatulidae	Anneissia	Anneissia japonica
Chordata	Aves	Trogoniformes	Trogonidae	Apaloderma	Apaloderma vittatum
Chordata	Aves	Cuculiformes	Cuculidae	Cuculus	Cuculus canorus
Chordata	Aves	Eurypygiformes	Eurypygidae	Eurypyga	Eurypyga helias
Chordata	Aves	Cariamiformes	Cariamidae	Cariama	Cariama cristata
Chordata	Aves	Gaviiformes	Gaviidae	Gavia	Gavia stellata
Chordata	Aves	Procellariiformes	Procellariidae	Fulmarus	Fulmarus glacialis
Chordata	Aves	Opisthocomiformes	Opisthocomidae	Opisthocomus	Opisthocomus hoazin
Chordata	Aves	Suliformes	Phalacrocoracidae	Phalacrocorax	Phalacrocorax carbo
Chordata	Aves	Columbiformes	Columbidae	Columba	Columba livia
Chordata	Aves	Casuariiformes	Dromaiidae	Dromaius	Dromaius novaehollandiae
Chordata	Aves	Coraciiformes	Leptosomidae	Leptosomus	Leptosomus discolor
Chordata	Aves	Coraciiformes	Meropidae	Merops	Merops nubicus
Chordata	Aves	Strigiformes	Strigidae	Athene	Athene cunicularia
Chordata	Aves	Strigiformes	Tytonidae	Tyto	Tyto alba
Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	Calidris pugnax
Chordata	Aves	Charadriiformes	Charadriidae	Charadrius	Charadrius vociferus
Chordata	Aves	Tinamiformes	Tinamidae	Tinamus	Tinamus guttatus
Chordata	Aves	Tinamiformes	Tinamidae	Nothoprocta	Nothoprocta perdicaria
Chordata	Aves	Sphenisciformes	Spheniscidae	Pygoscelis	Pygoscelis adeliae
Chordata	Aves	Sphenisciformes	Spheniscidae	Aptenodytes	Aptenodytes forsteri
Chordata	Aves	Apodiformes	Trochilidae	Calypte	Calypte anna
Chordata	Aves	Apodiformes	Apodidae	Chaetura	Chaetura pelagica
Chordata	Aves	Gruiformes	Otididae	Chlamydotis	Chlamydotis macqueenii
Chordata	Aves	Gruiformes	Gruidae	Balearica	Balearica regulorum	Balearica regulorum gibbericeps
Chordata	Aves	Gruiformes	Mesitornithidae	Mesitornis	Mesitornis unicolor
Chordata	Aves	Pelecaniformes	Ardeidae	Egretta	Egretta garzetta
Chordata	Aves	Pelecaniformes	Threskiornithidae	Nipponia	Nipponia nippon
Chordata	Aves	Pelecaniformes	Pelecanidae	Pelecanus	Pelecanus crispus
Chordata	Aves	Psittaciformes	Psittaculidae	Melopsittacus	Melopsittacus undulatus
Chordata	Aves	Psittaciformes	Psittacidae	Strigops	Strigops habroptila
Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis
Chordata	Aves	Accipitriformes	Accipitridae	Aquila	Aquila chrysaetos	Aquila chrysaetos chrysaetos
Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	Accipiter gentilis
Chordata	Aves	Accipitriformes	Accipitridae	Haliaeetus	Haliaeetus leucocephalus
Chordata	Aves	Accipitriformes	Accipitridae	Haliaeetus	Haliaeetus albicilla
Chordata	Aves	Falconiformes	Falconidae	Falco	Falco cherrug
Chordata	Aves	Falconiformes	Falconidae	Falco	Falco naumanni
Chordata	Aves	Falconiformes	Falconidae	Falco	Falco rusticolus
Chordata	Aves	Falconiformes	Falconidae	Falco	Falco peregrinus
Chordata	Aves	Anseriformes	Anatidae	Aythya	Aythya fuligula
Chordata	Aves	Anseriformes	Anatidae	Oxyura	Oxyura jamaicensis
Chordata	Aves	Anseriformes	Anatidae	Anser	Anser cygnoides
Chordata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos
Chordata	Aves	Anseriformes	Anatidae	Cygnus	Cygnus olor
Chordata	Aves	Anseriformes	Anatidae	Cygnus	Cygnus atratus
Chordata	Aves	Galliformes	Numididae	Numida	Numida meleagris
Chordata	Aves	Galliformes	Phasianidae	Coturnix	Coturnix japonica
Chordata	Aves	Galliformes	Phasianidae	Meleagris	Meleagris gallopavo
Chordata	Aves	Galliformes	Phasianidae	Phasianus	Phasianus colchicus
Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus
Chordata	Aves	Galliformes	Phasianidae	Centrocercus	Centrocercus urophasianus
Chordata	Aves	Galliformes	Phasianidae	Lagopus	Lagopus muta
Chordata	Aves	Galliformes	Phasianidae	Lagopus	Lagopus leucura
Chordata	Aves	Passeriformes	Motacillidae	Motacilla	Motacilla alba	Motacilla alba alba
Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus ustulatus
Chordata	Aves	Passeriformes	Icteridae	Molothrus	Molothrus ater
Chordata	Aves	Passeriformes	Muscicapidae	Ficedula	Ficedula albicollis
Chordata	Aves	Passeriformes	Acanthisittidae	Acanthisitta	Acanthisitta chloris
Chordata	Aves	Passeriformes	Passerellidae	Zonotrichia	Zonotrichia albicollis
Chordata	Aves	Passeriformes	Hirundinidae	Hirundo	Hirundo rustica
Chordata	Aves	Passeriformes	Sturnidae	Sturnus	Sturnus vulgaris
Chordata	Aves	Passeriformes	Tyrannidae	Myiozetetes	Myiozetetes cayanensis
Chordata	Aves	Passeriformes	Tyrannidae	Empidonax	Empidonax traillii
Chordata	Aves	Passeriformes	Estrildidae	Lonchura	Lonchura striata	Lonchura striata domestica
Chordata	Aves	Passeriformes	Estrildidae	Taeniopygia	Taeniopygia guttata
Chordata	Aves	Passeriformes	Thraupidae	Camarhynchus	Camarhynchus parvulus
Chordata	Aves	Passeriformes	Thraupidae	Geospiza	Geospiza fortis
Chordata	Aves	Passeriformes	Passeridae	Onychostruthus	Onychostruthus taczanowskii
Chordata	Aves	Passeriformes	Passeridae	Pyrgilauda	Pyrgilauda ruficollis
Chordata	Aves	Passeriformes	Passeridae	Passer	Passer montanus
Chordata	Aves	Passeriformes	Paridae	Pseudopodoces	Pseudopodoces humilis
Chordata	Aves	Passeriformes	Paridae	Cyanistes	Cyanistes caeruleus
Chordata	Aves	Passeriformes	Paridae	Parus	Parus major
Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus moneduloides
Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus cornix	Corvus cornix cornix
Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus hawaiiensis
Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus brachyrhynchos
Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus kubaryi
Chordata	Aves	Passeriformes	Pipridae	Pipra	Pipra filicauda
Chordata	Aves	Passeriformes	Pipridae	Corapipo	Corapipo altera
Chordata	Aves	Passeriformes	Pipridae	Manacus	Manacus vitellinus
Chordata	Aves	Passeriformes	Pipridae	Lepidothrix	Lepidothrix coronata
Chordata	Aves	Passeriformes	Pipridae	Chiroxiphia	Chiroxiphia lanceolata
Chordata	Aves	Passeriformes	Pipridae	Neopelma	Neopelma chrysocephalum
Chordata	Actinopteri	Atheriniformes	Melanotaeniidae	Melanotaenia	Melanotaenia boesemani
Chordata	Actinopteri	Toxotidae	Toxotes	Toxotes jaculatrix
Chordata	Actinopteri	Holocentriformes	Holocentridae	Myripristis	Myripristis murdjan
Chordata	Actinopteri	Batrachoidiformes	Batrachoididae	Thalassophryne	Thalassophryne amazonica
Chordata	Actinopteri	Kurtiformes	Apogonidae	Sphaeramia	Sphaeramia orbicularis
Chordata	Actinopteri	Sciaenidae	Larimichthys	Larimichthys crocea
Chordata	Actinopteri	Ambassidae	Parambassis	Parambassis ranga
Chordata	Actinopteri	Osmeriformes	Osmeridae	Hypomesus	Hypomesus transpacificus
Chordata	Actinopteri	Elopiformes	Megalopidae	Megalops	Megalops cyprinoides
Chordata	Actinopteri	Chaetodontiformes	Chaetodontidae	Chelmon	Chelmon rostratus
Chordata	Actinopteri	Scatophagidae	Scatophagus	Scatophagus argus
Chordata	Actinopteri	Mugiliformes	Mugilidae	Mugil	Mugil cephalus
Chordata	Actinopteri	Moronidae	Morone	Morone saxatilis
Chordata	Actinopteri	Tetraodontiformes	Tetraodontidae	Takifugu	Takifugu rubripes
Chordata	Actinopteri	Gonorynchiformes	Chanidae	Chanos	Chanos chanos
Chordata	Actinopteri	Istiophoriformes	Xiphiidae	Xiphias	Xiphias gladius
Chordata	Actinopteri	Centropomidae	Lates	Lates calcarifer
Chordata	Actinopteri	Gadiformes	Gadidae	Gadus	Gadus morhua
Chordata	Actinopteri	Esociformes	Esocidae	Esox	Esox lucius
Chordata	Actinopteri	Gymnotiformes	Gymnotidae	Electrophorus	Electrophorus electricus
Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
Chordata	Actinopteri	Semionotiformes	Lepisosteidae	Lepisosteus	Lepisosteus oculatus
Chordata	Actinopteri	Blenniiformes	Gobiesocidae	Gouania	Gouania willdenowi
Chordata	Actinopteri	Blenniiformes	Blenniidae	Salarias	Salarias fasciatus
Chordata	Actinopteri	Gobiiformes	Gobiidae	Periophthalmus	Periophthalmus magnuspinnatus
Chordata	Actinopteri	Gobiiformes	Gobiidae	Boleophthalmus	Boleophthalmus pectinirostris
Chordata	Actinopteri	Pomacentridae	Stegastes	Stegastes partitus
Chordata	Actinopteri	Pomacentridae	Amphiprion	Amphiprion ocellaris
Chordata	Actinopteri	Anabantiformes	Osphronemidae	Betta	Betta splendens
Chordata	Actinopteri	Anabantiformes	Anabantidae	Anabas	Anabas testudineus
Chordata	Actinopteri	Synbranchiformes	Mastacembelidae	Mastacembelus	Mastacembelus armatus
Chordata	Actinopteri	Synbranchiformes	Synbranchidae	Monopterus	Monopterus albus
Chordata	Actinopteri	Scombriformes	Scombridae	Thunnus	Thunnus maccoyii
Chordata	Actinopteri	Scombriformes	Scombridae	Thunnus	Thunnus albacares
Chordata	Actinopteri	Spariformes	Sparidae	Acanthopagrus	Acanthopagrus latus
Chordata	Actinopteri	Spariformes	Sparidae	Sparus	Sparus aurata
Chordata	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias	Oryzias melastigma
Chordata	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias	Oryzias latipes
Chordata	Actinopteri	Acipenseriformes	Polyodontidae	Polyodon	Polyodon spathula
Chordata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Acipenser ruthenus
Chordata	Actinopteri	Syngnathiformes	Syngnathidae	Hippocampus	Hippocampus comes
Chordata	Actinopteri	Syngnathiformes	Syngnathidae	Syngnathus	Syngnathus scovelli
Chordata	Actinopteri	Syngnathiformes	Syngnathidae	Syngnathus	Syngnathus acus
Chordata	Actinopteri	Labriformes	Labridae	Notolabrus	Notolabrus celidotus
Chordata	Actinopteri	Labriformes	Labridae	Cheilinus	Cheilinus undulatus
Chordata	Actinopteri	Labriformes	Labridae	Labrus	Labrus bergylta
Chordata	Actinopteri	Osteoglossiformes	Osteoglossidae	Scleropages	Scleropages formosus
Chordata	Actinopteri	Osteoglossiformes	Mormyridae	Paramormyrops	Paramormyrops kingsleyae
Chordata	Actinopteri	Osteoglossiformes	Mormyridae	Brienomyrus	Brienomyrus brachyistius
Chordata	Actinopteri	Carangiformes	Echeneidae	Echeneis	Echeneis naucrates
Chordata	Actinopteri	Carangiformes	Carangidae	Seriola	Seriola lalandi	Seriola lalandi dorsalis
Chordata	Actinopteri	Carangiformes	Carangidae	Seriola	Seriola dumerili
Chordata	Actinopteri	Centrarchiformes	Sinipercidae	Siniperca	Siniperca chuatsi
Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus dolomieu
Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus salmoides
Chordata	Actinopteri	Siluriformes	Bagridae	Tachysurus	Tachysurus fulvidraco
Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus meridionalis
Chordata	Actinopteri	Siluriformes	Ictaluridae	Ictalurus	Ictalurus punctatus
Chordata	Actinopteri	Characiformes	Characidae	Astyanax	Astyanax mexicanus
Chordata	Actinopteri	Characiformes	Serrasalmidae	Colossoma	Colossoma macropomum
Chordata	Actinopteri	Characiformes	Serrasalmidae	Pygocentrus	Pygocentrus nattereri
Chordata	Actinopteri	Clupeiformes	Denticipitidae	Denticeps	Denticeps clupeoides
Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus
Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	Alosa alosa
Chordata	Actinopteri	Clupeiformes	Clupeidae	Alosa	Alosa sapidissima
Chordata	Actinopteri	Pleuronectiformes	Cynoglossidae	Cynoglossus	Cynoglossus semilaevis
Chordata	Actinopteri	Pleuronectiformes	Scophthalmidae	Scophthalmus	Scophthalmus maximus
Chordata	Actinopteri	Pleuronectiformes	Soleidae	Solea	Solea senegalensis
Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Paralichthys	Paralichthys olivaceus
Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Hippoglossus	Hippoglossus stenolepis
Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	Hippoglossus	Hippoglossus hippoglossus
Chordata	Actinopteri	Cichliformes	Cichlidae	Pundamilia	Pundamilia nyererei
Chordata	Actinopteri	Cichliformes	Cichlidae	Maylandia	Maylandia zebra
Chordata	Actinopteri	Cichliformes	Cichlidae	Archocentrus	Archocentrus centrarchus
Chordata	Actinopteri	Cichliformes	Cichlidae	Simochromis	Simochromis diagramma
Chordata	Actinopteri	Cichliformes	Cichlidae	Neolamprologus	Neolamprologus brichardi
Chordata	Actinopteri	Cichliformes	Cichlidae	Astatotilapia	Astatotilapia calliptera
Chordata	Actinopteri	Cichliformes	Cichlidae	Haplochromis	Haplochromis burtoni
Chordata	Actinopteri	Cichliformes	Cichlidae	Oreochromis	Oreochromis aureus
Chordata	Actinopteri	Cichliformes	Cichlidae	Oreochromis	Oreochromis niloticus
Chordata	Actinopteri	Cypriniformes	Leuciscidae	Pimephales	Pimephales promelas
Chordata	Actinopteri	Cypriniformes	Xenocyprididae	Megalobrama	Megalobrama amblycephala
Chordata	Actinopteri	Cypriniformes	Danionidae	Danio	Danio rerio
Chordata	Actinopteri	Cypriniformes	Cyprinidae	Puntigrus	Puntigrus tetrazona
Chordata	Actinopteri	Cypriniformes	Cyprinidae	Cyprinus	Cyprinus carpio
Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius auratus
Chordata	Actinopteri	Cypriniformes	Cyprinidae	Sinocyclocheilus	Sinocyclocheilus anshuiensis
Chordata	Actinopteri	Cypriniformes	Cyprinidae	Sinocyclocheilus	Sinocyclocheilus rhinocerous
Chordata	Actinopteri	Cypriniformes	Cyprinidae	Sinocyclocheilus	Sinocyclocheilus grahami
Chordata	Actinopteri	Salmoniformes	Salmonidae	Coregonus	Coregonus clupeaformis
Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus sp. IW2-2015
Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus namaycush
Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo trutta
Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo salar
Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus tshawytscha
Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus nerka
Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus mykiss
Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus kisutch
Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus gorbuscha
Chordata	Actinopteri	Cyprinodontiformes	Goodeidae	Girardinichthys	Girardinichthys multiradiatus
Chordata	Actinopteri	Cyprinodontiformes	Nothobranchiidae	Nothobranchius	Nothobranchius furzeri
Chordata	Actinopteri	Cyprinodontiformes	Cyprinodontidae	Cyprinodon	Cyprinodon variegatus
Chordata	Actinopteri	Cyprinodontiformes	Fundulidae	Fundulus	Fundulus heteroclitus
Chordata	Actinopteri	Cyprinodontiformes	Rivulidae	Nematolebias	Nematolebias whitei
Chordata	Actinopteri	Cyprinodontiformes	Rivulidae	Austrofundulus	Austrofundulus limnaeus
Chordata	Actinopteri	Cyprinodontiformes	Rivulidae	Kryptolebias	Kryptolebias marmoratus
Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Gambusia	Gambusia affinis
Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Xiphophorus	Xiphophorus couchianus
Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Xiphophorus	Xiphophorus hellerii
Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Xiphophorus	Xiphophorus maculatus
Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia mexicana
Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia latipinna
Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia formosa
Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Poecilia	Poecilia reticulata
Chordata	Actinopteri	Perciformes	Anarhichadidae	Anarrhichthys	Anarrhichthys ocellatus
Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	Sebastes umbrosus
Chordata	Actinopteri	Perciformes	Bovichtidae	Cottoperca	Cottoperca gobio
Chordata	Actinopteri	Perciformes	Channichthyidae	Pseudochaenichthys	Pseudochaenichthys georgianus
Chordata	Actinopteri	Perciformes	Bathydraconidae	Gymnodraco	Gymnodraco acuticeps
Chordata	Actinopteri	Perciformes	Cyclopteridae	Cyclopterus	Cyclopterus lumpus
Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus aculeatus	Gasterosteus aculeatus aculeatus
Chordata	Actinopteri	Perciformes	Gasterosteidae	Pungitius	Pungitius pungitius
Chordata	Actinopteri	Perciformes	Nototheniidae	Trematomus	Trematomus bernacchii
Chordata	Actinopteri	Perciformes	Nototheniidae	Notothenia	Notothenia coriiceps
Chordata	Actinopteri	Perciformes	Serranidae	Plectropomus	Plectropomus leopardus
Chordata	Actinopteri	Perciformes	Serranidae	Epinephelus	Epinephelus lanceolatus
Chordata	Actinopteri	Perciformes	Serranidae	Epinephelus	Epinephelus moara
Chordata	Actinopteri	Perciformes	Serranidae	Epinephelus	Epinephelus fuscoguttatus
Chordata	Actinopteri	Perciformes	Percidae	Sander	Sander lucioperca
Chordata	Actinopteri	Perciformes	Percidae	Etheostoma	Etheostoma cragini
Chordata	Actinopteri	Perciformes	Percidae	Etheostoma	Etheostoma spectabile
Chordata	Actinopteri	Perciformes	Percidae	Perca	Perca fluviatilis
Chordata	Actinopteri	Perciformes	Percidae	Perca	Perca flavescens
Chordata	Mammalia	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus afer	Orycteropus afer afer
Chordata	Mammalia	Dermoptera	Cynocephalidae	Galeopterus	Galeopterus variegatus
Chordata	Mammalia	Scandentia	Tupaiidae	Tupaia	Tupaia chinensis
Chordata	Mammalia	Chrysochloridae	Chrysochloris	Chrysochloris asiatica
Chordata	Mammalia	Sirenia	Trichechidae	Trichechus	Trichechus manatus	Trichechus manatus latirostris
Chordata	Mammalia	Microbiotheria	Microbiotheriidae	Dromiciops	Dromiciops gliroides
Chordata	Mammalia	Macroscelidea	Macroscelididae	Elephantulus	Elephantulus edwardii
Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus didactylus
Chordata	Mammalia	Tenrecidae	Echinops	Echinops telfairi
Chordata	Mammalia	Cingulata	Dasypodidae	Dasypus	Dasypus novemcinctus
Chordata	Mammalia	Dasyuromorphia	Dasyuridae	Sarcophilus	Sarcophilus harrisii
Chordata	Mammalia	Didelphimorphia	Didelphidae	Gracilinanus	Gracilinanus agilis
Chordata	Mammalia	Didelphimorphia	Didelphidae	Monodelphis	Monodelphis domestica
Chordata	Mammalia	Lagomorpha	Ochotonidae	Ochotona	Ochotona curzoniae
Chordata	Mammalia	Lagomorpha	Ochotonidae	Ochotona	Ochotona princeps
Chordata	Mammalia	Pholidota	Manidae	Manis	Manis pentadactyla
Chordata	Mammalia	Pholidota	Manidae	Manis	Manis javanica
Chordata	Mammalia	Proboscidea	Elephantidae	Elephas	Elephas maximus	Elephas maximus indicus
Chordata	Mammalia	Proboscidea	Elephantidae	Loxodonta	Loxodonta africana
Chordata	Mammalia	Diprotodontia	Vombatidae	Vombatus	Vombatus ursinus
Chordata	Mammalia	Diprotodontia	Phalangeridae	Trichosurus	Trichosurus vulpecula
Chordata	Mammalia	Monotremata	Tachyglossidae	Tachyglossus	Tachyglossus aculeatus
Chordata	Mammalia	Monotremata	Ornithorhynchidae	Ornithorhynchus	Ornithorhynchus anatinus
Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Ceratotherium	Ceratotherium simum	Ceratotherium simum simum
Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus quagga
Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus przewalskii
Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus caballus
Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus asinus
Chordata	Mammalia	Eulipotyphla	Erinaceidae	Erinaceus	Erinaceus europaeus
Chordata	Mammalia	Eulipotyphla	Talpidae	Condylura	Condylura cristata
Chordata	Mammalia	Eulipotyphla	Talpidae	Talpa	Talpa occidentalis
Chordata	Mammalia	Eulipotyphla	Soricidae	Suncus	Suncus etruscus
Chordata	Mammalia	Eulipotyphla	Soricidae	Sorex	Sorex araneus
Chordata	Mammalia	Chiroptera	Miniopteridae	Miniopterus	Miniopterus natalensis
Chordata	Mammalia	Chiroptera	Hipposideridae	Hipposideros	Hipposideros armiger
Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus ferrumequinum
Chordata	Mammalia	Chiroptera	Molossidae	Molossus	Molossus molossus
Chordata	Mammalia	Chiroptera	Phyllostomidae	Sturnira	Sturnira hondurensis
Chordata	Mammalia	Chiroptera	Phyllostomidae	Desmodus	Desmodus rotundus
Chordata	Mammalia	Chiroptera	Phyllostomidae	Phyllostomus	Phyllostomus discolor
Chordata	Mammalia	Chiroptera	Phyllostomidae	Phyllostomus	Phyllostomus hastatus
Chordata	Mammalia	Chiroptera	Pteropodidae	Rousettus	Rousettus aegyptiacus
Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	Pteropus giganteus
Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	Pteropus vampyrus
Chordata	Mammalia	Chiroptera	Pteropodidae	Pteropus	Pteropus alecto
Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus kuhlii
Chordata	Mammalia	Chiroptera	Vespertilionidae	Eptesicus	Eptesicus fuscus
Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis davidii
Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis brandtii
Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis lucifugus
Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis myotis
Chordata	Mammalia	Artiodactyla	Lipotidae	Lipotes	Lipotes vexillifer
Chordata	Mammalia	Artiodactyla	Phocoenidae	Neophocaena	Neophocaena asiaeorientalis	Neophocaena asiaeorientalis asiaeorientalis
Chordata	Mammalia	Artiodactyla	Phocoenidae	Phocoena	Phocoena sinus
Chordata	Mammalia	Artiodactyla	Suidae	Phacochoerus	Phacochoerus africanus
Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
Chordata	Mammalia	Artiodactyla	Balaenopteridae	Balaenoptera	Balaenoptera acutorostrata	Balaenoptera acutorostrata scammoni
Chordata	Mammalia	Artiodactyla	Balaenopteridae	Balaenoptera	Balaenoptera musculus
Chordata	Mammalia	Artiodactyla	Monodontidae	Monodon	Monodon monoceros
Chordata	Mammalia	Artiodactyla	Monodontidae	Delphinapterus	Delphinapterus leucas
Chordata	Mammalia	Artiodactyla	Cervidae	Odocoileus	Odocoileus virginianus	Odocoileus virginianus texanus
Chordata	Mammalia	Artiodactyla	Cervidae	Cervus	Cervus canadensis
Chordata	Mammalia	Artiodactyla	Cervidae	Cervus	Cervus elaphus
Chordata	Mammalia	Artiodactyla	Camelidae	Vicugna	Vicugna pacos
Chordata	Mammalia	Artiodactyla	Camelidae	Camelus	Camelus ferus
Chordata	Mammalia	Artiodactyla	Camelidae	Camelus	Camelus dromedarius
Chordata	Mammalia	Artiodactyla	Camelidae	Camelus	Camelus bactrianus
Chordata	Mammalia	Artiodactyla	Delphinidae	Lagenorhynchus	Lagenorhynchus obliquidens
Chordata	Mammalia	Artiodactyla	Delphinidae	Tursiops	Tursiops truncatus
Chordata	Mammalia	Artiodactyla	Delphinidae	Orcinus	Orcinus orca
Chordata	Mammalia	Artiodactyla	Delphinidae	Globicephala	Globicephala melas
Chordata	Mammalia	Artiodactyla	Bovidae	Bubalus	Bubalus bubalis
Chordata	Mammalia	Artiodactyla	Bovidae	Oryx	Oryx dammah
Chordata	Mammalia	Artiodactyla	Bovidae	Bison	Bison bison	Bison bison bison
Chordata	Mammalia	Artiodactyla	Bovidae	Ovis	Ovis aries
Chordata	Mammalia	Artiodactyla	Bovidae	Capra	Capra hircus
Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos mutus
Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos indicus x Bos taurus
Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos indicus
Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos taurus
Chordata	Mammalia	Primates	Tarsiidae	Carlito	Carlito syrichta
Chordata	Mammalia	Primates	Indriidae	Propithecus	Propithecus coquereli
Chordata	Mammalia	Primates	Aotidae	Aotus	Aotus nancymaae
Chordata	Mammalia	Primates	Galagidae	Otolemur	Otolemur garnettii
Chordata	Mammalia	Primates	Cheirogaleidae	Microcebus	Microcebus murinus
Chordata	Mammalia	Primates	Lemuridae	Lemur	Lemur catta
Chordata	Mammalia	Primates	Hylobatidae	Hylobates	Hylobates moloch
Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
Chordata	Mammalia	Primates	Cebidae	Cebus	Cebus imitator
Chordata	Mammalia	Primates	Cebidae	Saimiri	Saimiri boliviensis	Saimiri boliviensis boliviensis
Chordata	Mammalia	Primates	Cebidae	Sapajus	Sapajus apella
Chordata	Mammalia	Primates	Cebidae	Callithrix	Callithrix jacchus
Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo abelii
Chordata	Mammalia	Primates	Hominidae	Gorilla	Gorilla gorilla	Gorilla gorilla gorilla
Chordata	Mammalia	Primates	Hominidae	Pan	Pan troglodytes
Chordata	Mammalia	Primates	Hominidae	Pan	Pan paniscus
Chordata	Mammalia	Primates	Cercopithecidae	Piliocolobus	Piliocolobus tephrosceles
Chordata	Mammalia	Primates	Cercopithecidae	Colobus	Colobus angolensis	Colobus angolensis palliatus
Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus sabaeus
Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus francoisi
Chordata	Mammalia	Primates	Cercopithecidae	Mandrillus	Mandrillus leucophaeus
Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus	Theropithecus gelada
Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio anubis
Chordata	Mammalia	Primates	Cercopithecidae	Cercocebus	Cercocebus atys
Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	Rhinopithecus roxellana
Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	Rhinopithecus bieti
Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
